,city,latitude,longitude,PI_angle
0,Batu,-7.8709,112.5268,112.831
1,Malang,-7.97682,112.63441,102.530
2,Kepanjen,-8.1318,112.5712,55.942
3,GdLegi,-8.1768,112.6373,
4,BlLawang,-8.0784,112.6381,
